t_sec,iso_time,0C_rpm,03_fuelsys,05_ect,0B_map,04_load,0E_adv,14_o2,0F_iat,06_stft,07_ltft,42_volt,11_tps,0D_speed,raw
80.251,2026-08-30T09:34:30.725,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
80.791,2026-08-30T09:34:31.265,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
81.332,2026-08-30T09:34:31.807,0.0,,,,,,,,,,,,,0C=0000;03=ND;04=ND
81.871,2026-08-30T09:34:32.345,,,,,,,,,,,,,,0C=ND;03=ND;0E=ND
82.441,2026-08-30T09:34:32.915,,,,,,,,,,,,,,0C=ND;03=ND;14=ND
82.98,2026-08-30T09:34:33.455,,,,,,,,,,,,,,0C=ND;03=ND;0F=ND
83.521,2026-08-30T09:34:33.995,,,,,,,,,,,,,,0C=ND;03=ND;06=ND
84.061,2026-08-30T09:34:34.536,,,,,,,,,,,,,,0C=ND;03=ND;07=ND
84.602,2026-08-30T09:34:35.077,,,,,,,,,,,,,,0C=ND;03=ND;42=ND
85.142,2026-08-30T09:34:35.617,,,,,,,,,,,,,,0C=ND;03=ND;11=ND
85.711,2026-08-30T09:34:36.185,,,,,,,,,,,,,,0C=ND;03=ND;0D=ND
86.281,2026-08-30T09:34:36.755,,,,,,,,,,,,,,0C=ND;03=ND;05=ND
86.851,2026-08-30T09:34:37.325,,,,,,,,,,,,,,0C=ND;03=ND;0B=ND
87.391,2026-08-30T09:34:37.865,,,,,0.0,,,,,,,,,0C=ND;03=ND;04=00
87.961,2026-08-30T09:34:38.435,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
88.502,2026-08-30T09:34:38.976,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
89.071,2026-08-30T09:34:39.545,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
94.463,2026-08-30T09:34:44.938,,0100,,,,,,,,,,,,0C=ND;03=0100;06=ERR
